Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764577810,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764577811,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764577812,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764577813,20,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,6,6,2300.0,1950.0936833307303,166.69719998026267,2339.766099990811,191.0
1764577814,25,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,15,15,2300.0,1573.792506661266,153.73819999513216,2339.766099990811,191.0
1764577815,30,,Aggregated,1.666667,1.666667,2200,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,30,30,230.0,1229.811643330807,153.73819999513216,2339.766099990811,191.0
1764577816,35,,Aggregated,2.750000,2.750000,230,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,49,49,230.0,1045.6414469369279,153.73819999513216,2339.766099990811,191.0
1764577817,40,,Aggregated,5.200000,5.200000,250,2200,2300,2300,2300,2400,2500,2500,2500,2500,2500,71,71,250.0,955.1307704220985,153.73819999513216,2505.571800022153,191.0
1764577818,40,,Aggregated,7.666667,7.666667,330,500,2300,2300,2400,2500,2600,2600,2600,2600,2600,96,96,330.0,912.238785415866,153.73819999513216,2641.280599986203,191.0
1764577819,40,,Aggregated,9.428571,9.428571,390,510,2300,2300,2400,2600,2600,2700,2700,2700,2700,128,128,380.0,879.5103921872851,153.73819999513216,2655.0275000045076,191.0
1764577820,40,,Aggregated,10.625000,10.625000,350,490,2200,2300,2400,2600,2600,2700,2700,2700,2700,159,159,350.0,834.1321899365624,153.73819999513216,2655.0275000045076,191.0
1764577821,40,,Aggregated,11.888889,11.888889,340,430,510,2200,2400,2500,2600,2700,2700,2700,2700,194,194,340.0,740.9671371127299,153.73819999513216,2655.0275000045076,191.0
1764577822,40,,Aggregated,14.200000,14.200000,340,430,510,590,2300,2500,2600,2600,2700,2700,2700,223,223,340.0,695.0733748869135,153.73819999513216,2655.0275000045076,191.0
1764577823,40,,Aggregated,17.700000,17.700000,360,430,490,530,2300,2400,2600,2600,2700,2700,2700,261,261,360.0,654.3357747122316,153.73819999513216,2655.0275000045076,191.0
1764577824,40,,Aggregated,20.800000,20.800000,350,430,470,500,2300,2400,2600,2600,2700,2700,2700,293,293,350.0,619.3832491461741,153.73819999513216,2655.0275000045076,191.0
1764577825,40,,Aggregated,23.600000,23.600000,360,430,480,500,2300,2400,2600,2600,2700,2700,2700,330,330,360.0,598.4986112116145,153.73819999513216,2655.0275000045076,191.0
1764577826,40,,Aggregated,26.500000,26.500000,350,420,470,490,2300,2400,2600,2600,2700,2700,2700,364,364,350.0,566.7031450545867,153.73819999513216,2655.0275000045076,191.0
1764577827,40,,Aggregated,27.900000,27.900000,350,410,460,490,2200,2400,2600,2600,2700,2700,2700,396,396,350.0,549.0430416659842,153.73819999513216,2655.0275000045076,191.0
1764577828,40,,Aggregated,30.000000,30.000000,350,400,450,480,670,2300,2500,2600,2700,2700,2700,435,435,350.0,531.5470843673577,153.73819999513216,2655.0275000045076,191.0
1764577829,40,,Aggregated,30.900000,30.900000,340,390,440,470,610,2300,2500,2600,2700,2700,2700,458,458,340.0,518.4909779469531,153.73819999513216,2655.0275000045076,191.0
1764577830,40,,Aggregated,32.900000,32.900000,350,410,460,490,630,2300,2500,2600,2700,2700,2700,501,501,350.0,514.1344071848517,153.73819999513216,2655.0275000045076,191.0
1764577831,40,,Aggregated,33.900000,33.900000,340,390,450,480,610,2300,2500,2600,2700,2700,2700,536,536,340.0,498.1655098873937,153.73819999513216,2655.0275000045076,191.0
1764577832,40,,Aggregated,33.800000,33.800000,340,390,440,470,600,2300,2500,2600,2700,2700,2700,571,571,340.0,488.104035376052,153.73819999513216,2655.0275000045076,191.0
1764577833,40,,Aggregated,34.000000,34.000000,330,380,430,470,580,2300,2500,2600,2700,2700,2700,601,601,330.0,477.1976915137093,153.73819999513216,2655.0275000045076,191.0
1764577834,40,,Aggregated,34.000000,34.000000,340,390,440,470,580,2300,2500,2600,2700,2700,2700,638,638,330.0,473.9443620683375,153.73819999513216,2655.0275000045076,191.0
1764577835,40,,Aggregated,34.500000,34.500000,330,390,430,460,570,2300,2400,2600,2700,2700,2700,673,673,330.0,464.95531901874944,153.73819999513216,2655.0275000045076,191.0
1764577836,40,,Aggregated,33.600000,33.600000,330,390,430,460,560,2300,2400,2600,2700,2700,2700,703,703,330.0,459.9482477946054,153.73819999513216,2655.0275000045076,191.0
1764577837,40,,Aggregated,34.800000,34.800000,330,390,440,470,560,2300,2400,2600,2700,2700,2700,733,733,330.0,457.7185515684233,153.73819999513216,2655.0275000045076,191.0
1764577838,40,,Aggregated,34.000000,34.000000,340,390,440,470,550,2200,2400,2600,2700,2700,2700,767,767,340.0,455.56114093836754,153.73819999513216,2655.0275000045076,191.0
1764577839,40,,Aggregated,34.700000,34.700000,340,390,430,460,540,760,2400,2500,2700,2700,2700,803,803,340.0,451.2023338725095,153.73819999513216,2655.0275000045076,191.0
1764577840,40,,Aggregated,33.300000,33.300000,330,390,430,460,530,760,2400,2500,2700,2700,2700,834,834,330.0,443.4255347717333,153.73819999513216,2655.0275000045076,191.0
1764577841,40,,Aggregated,33.700000,33.700000,340,390,430,460,530,730,2400,2500,2700,2700,2700,867,867,340.0,441.861699538064,153.73819999513216,2655.0275000045076,191.0
1764577842,40,,Aggregated,33.700000,33.700000,340,390,430,460,530,710,2400,2500,2700,2700,2700,902,902,340.0,440.7038779373597,153.73819999513216,2655.0275000045076,191.0
1764577843,40,,Aggregated,32.800000,32.800000,340,400,430,460,530,690,2400,2500,2700,2700,2700,934,934,340.0,438.655568414877,153.73819999513216,2655.0275000045076,191.0
1764577844,40,,Aggregated,32.900000,32.900000,340,400,440,470,530,680,2400,2500,2700,2700,2700,968,968,340.0,436.87516487553387,153.73819999513216,2655.0275000045076,191.0
1764577845,40,,Aggregated,32.300000,32.300000,340,390,430,460,530,670,2400,2500,2700,2700,2700,999,999,340.0,432.30277157109066,153.73819999513216,2655.0275000045076,191.0
1764577846,40,,Aggregated,33.100000,33.100000,340,390,430,460,530,650,2300,2500,2700,2700,2700,1033,1033,340.0,429.04590077403867,153.73819999513216,2655.0275000045076,191.0
1764577847,40,,Aggregated,32.200000,32.200000,340,390,430,460,520,630,2300,2500,2700,2700,2700,1073,1073,340.0,425.94653280481293,153.73819999513216,2655.0275000045076,191.0
1764577848,40,,Aggregated,32.600000,32.600000,340,390,430,450,520,630,2300,2500,2700,2700,2700,1105,1105,340.0,422.37724778231876,153.73819999513216,2655.0275000045076,191.0
